Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,200.490005,201.029999,198.589996,201.020004,193.041077,222353500.0
2016-01-05,201.399994,201.899994,200.050003,201.360001,193.367584,110845800.0
2016-01-06,198.339996,200.059998,197.600006,198.820007,190.928375,152112600.0
2016-01-07,195.330002,197.440002,193.589996,194.050003,186.347717,213436100.0
2016-01-08,195.190002,195.850006,191.580002,191.919998,184.302277,209817200.0
2016-01-11,193.009995,193.410004,189.820007,192.110001,184.484726,185113200.0
2016-01-12,193.820007,194.550003,191.139999,193.660004,185.973206,172330500.0
2016-01-13,194.449997,194.860001,188.380005,188.830002,181.33493,221168900.0
2016-01-14,189.550003,193.259995,187.660004,191.929993,184.311844,240795600.0
2016-01-15,186.770004,188.759995,185.520004,187.809998,180.355408,324846400.0
2016-01-19,189.960007,190.110001,186.199997,188.059998,180.595474,195244400.0
2016-01-20,185.029999,187.5,181.020004,185.649994,178.281158,286547800.0
2016-01-21,186.210007,188.869995,184.639999,186.690002,179.279861,195772900.0
2016-01-22,189.779999,190.759995,188.880005,190.520004,182.957825,168319600.0
2016-01-25,189.919998,190.149994,187.410004,187.639999,180.192139,130371700.0
2016-01-26,188.419998,190.529999,188.020004,190.199997,182.650513,137269900.0
2016-01-27,189.580002,191.559998,187.059998,188.130005,180.662704,185681700.0
2016-01-28,189.960007,190.199997,187.160004,189.110001,181.60379,143798800.0
2016-01-29,190.020004,193.880005,189.880005,193.720001,186.030823,210529300.0
2016-02-01,192.529999,194.580002,191.839996,193.649994,185.963593,136061600.0
2016-02-02,191.960007,191.970001,189.539993,190.160004,182.612122,182564900.0
2016-02-03,191.410004,191.779999,187.100006,191.300003,183.706863,205054900.0
2016-02-04,190.710007,192.75,189.960007,191.600006,183.994965,136318100.0
2016-02-05,190.990005,191.669998,187.199997,187.949997,180.489853,180788300.0
2016-02-08,185.770004,186.119995,182.800003,185.419998,178.060272,191526700.0
2016-02-09,183.360001,186.940002,183.199997,185.429993,178.069855,176478700.0
2016-02-10,186.410004,188.339996,185.119995,185.270004,177.916214,148214100.0
2016-02-11,182.339996,184.100006,181.089996,182.860001,175.601883,219058900.0
2016-02-12,184.960007,186.649994,183.960007,186.630005,179.222244,127632400.0
2016-02-16,188.770004,189.809998,187.630005,189.779999,182.247208,120250700.0
2016-02-17,191.160004,193.320007,191.009995,192.880005,185.224182,136009500.0
2016-02-18,193.199997,193.270004,191.720001,192.089996,184.465515,102343000.0
2016-02-19,191.169998,192.179993,190.449997,192.0,184.379089,114793000.0
2016-02-22,193.869995,194.949997,193.789993,194.779999,187.048767,103640300.0
2016-02-23,194.0,194.320007,192.179993,192.320007,184.686386,111455300.0
2016-02-24,190.630005,193.529999,189.320007,193.199997,185.531464,150812200.0
2016-02-25,193.729996,195.550003,192.830002,195.539993,187.778564,107512400.0
2016-02-26,196.570007,196.679993,194.899994,195.089996,187.346451,129833700.0
2016-02-29,195.110001,196.229996,193.330002,193.559998,185.877167,125918100.0
2016-03-01,195.009995,198.210007,194.449997,198.110001,190.246567,141799700.0
2016-03-02,197.740005,199.059998,197.25,199.0,191.101242,102415000.0
2016-03-03,198.789993,199.800003,198.110001,199.779999,191.850296,94146200.0
2016-03-04,200.009995,201.350006,199.029999,200.429993,192.474472,129293600.0
2016-03-07,199.339996,201.070007,199.25,200.589996,192.628143,100219000.0
2016-03-08,199.320007,199.919998,198.210007,198.399994,190.52504,123974900.0
2016-03-09,199.360001,199.789993,198.429993,199.380005,191.466187,94801200.0
2016-03-10,199.960007,201.070007,197.380005,199.539993,191.619781,153608200.0
2016-03-11,201.259995,202.809998,199.520004,202.759995,194.71199,137964500.0
2016-03-14,202.160004,203.039993,201.770004,202.5,194.462341,73612000.0
2016-03-15,201.360001,202.529999,201.050003,202.169998,194.145432,93169100.0
2016-03-16,201.600006,203.820007,201.550003,203.339996,195.268967,129303200.0
2016-03-17,203.240005,205.229996,202.770004,204.630005,196.507782,134278500.0
2016-03-18,204.169998,204.779999,203.800003,204.380005,197.279984,138372400.0
2016-03-21,204.070007,204.940002,203.800003,204.669998,197.559875,72926700.0
2016-03-22,203.759995,205.229996,203.570007,204.559998,197.453735,97471900.0
2016-03-23,204.110001,204.330002,203.009995,203.210007,196.15062,81052500.0
2016-03-24,202.0,203.160004,201.740005,203.119995,196.063736,84360900.0
2016-03-28,203.610001,203.860001,202.710007,203.240005,196.179596,62408200.0
2016-03-29,202.759995,205.25,202.399994,205.119995,197.994278,90418600.0
2016-03-30,206.300003,206.869995,205.589996,206.020004,198.863022,86365300.0
2016-03-31,205.910004,206.410004,205.330002,205.520004,198.380386,94584100.0
2016-04-01,204.350006,207.139999,203.979996,206.919998,199.73175,114423500.0
2016-04-04,206.830002,207.070007,205.889999,206.25,199.085022,63497000.0
2016-04-05,204.669998,206.259995,203.889999,204.190002,197.096573,99662200.0
2016-04-06,204.190002,206.490005,203.979996,206.419998,199.24913,89889800.0
2016-04-07,205.139999,205.559998,203.089996,203.949997,196.864929,113859000.0
2016-04-08,205.339996,205.850006,203.869995,204.5,197.395813,95040600.0
2016-04-11,205.25,206.070007,203.910004,204.020004,196.932495,83757500.0
2016-04-12,204.220001,206.25,203.699997,205.919998,198.766479,110162100.0
2016-04-13,207.0,208.100006,206.839996,208.0,200.774231,96336400.0
2016-04-14,208.070007,208.600006,207.600006,208.009995,200.783859,60422700.0
2016-04-15,208.009995,208.169998,207.399994,207.779999,200.561874,75761600.0
2016-04-18,207.779999,209.279999,207.0,209.240005,201.971146,75277700.0
2016-04-19,209.740005,210.199997,208.940002,209.899994,202.6082,88316100.0
2016-04-20,209.949997,210.919998,209.389999,210.100006,202.801285,81100300.0
2016-04-21,210.119995,210.25,208.649994,208.970001,201.710526,85695000.0
2016-04-22,208.550003,209.289993,207.910004,208.970001,201.710526,99251700.0
2016-04-25,208.259995,208.660004,207.539993,208.610001,201.363037,66166500.0
2016-04-26,209.039993,209.520004,208.360001,208.919998,201.662247,75864200.0
2016-04-27,208.470001,209.809998,208.050003,209.350006,202.077332,77329400.0
2016-04-28,208.460007,209.759995,206.960007,207.449997,200.243332,97216200.0
2016-04-29,206.720001,207.130005,205.029999,206.330002,199.162262,142424100.0
2016-05-02,206.919998,208.179993,206.410004,207.970001,200.745285,62188000.0
2016-05-03,206.520004,206.800003,205.279999,206.160004,198.998154,106422100.0
2016-05-04,204.990005,205.850006,204.419998,205.009995,197.888077,92243800.0
2016-05-05,205.559998,205.979996,204.470001,204.970001,197.849503,67619200.0
2016-05-06,204.059998,205.770004,203.880005,205.720001,198.573425,89315000.0
2016-05-09,205.570007,206.399994,205.360001,205.889999,198.737518,74374900.0
2016-05-10,206.720001,208.470001,206.639999,208.449997,201.208588,74236100.0
2016-05-11,207.910004,208.539993,206.5,206.5,199.326324,81727000.0
2016-05-12,207.289993,207.490005,205.369995,206.559998,199.384247,89586300.0
2016-05-13,206.210007,206.860001,204.380005,204.759995,197.646774,96474600.0
2016-05-16,204.960007,207.339996,204.889999,206.779999,199.596619,77486800.0
2016-05-17,206.460007,206.800003,204.229996,204.850006,197.733643,114924900.0
2016-05-18,204.440002,206.300003,203.630005,204.910004,197.79158,123493400.0
2016-05-19,204.059998,204.539993,202.779999,204.199997,197.106247,115430500.0
2016-05-20,204.919998,206.100006,204.860001,205.490005,198.35141,104990400.0
2016-05-23,205.509995,205.839996,204.990005,205.210007,198.081161,58117700.0
2016-05-24,206.169998,208.240005,206.139999,207.869995,200.648743,93537800.0
2016-05-25,208.669998,209.770004,207.869995,209.279999,202.009766,76621400.0
2016-05-26,209.440002,209.710007,208.970001,209.339996,202.067673,53087800.0
2016-05-27,209.529999,210.25,209.470001,210.240005,202.936417,64211200.0
2016-05-31,210.559998,210.690002,209.179993,209.839996,202.550308,109879400.0
2016-06-01,209.119995,210.479996,208.889999,210.270004,202.965363,69936200.0
2016-06-02,209.800003,210.929993,209.240005,210.910004,203.58313,60661400.0
2016-06-03,210.25,210.690002,208.860001,210.279999,202.975006,101757100.0
2016-06-06,210.699997,211.770004,210.509995,211.350006,204.007858,64887000.0
2016-06-07,211.529999,212.339996,211.5,211.679993,204.32637,60974800.0
2016-06-08,211.839996,212.520004,211.690002,212.369995,204.992416,66170900.0
2016-06-09,211.509995,212.220001,211.190002,212.080002,204.712463,73786900.0
2016-06-10,210.460007,210.860001,209.429993,210.070007,202.772324,113829200.0
